preference,other,china,india,mexico,philippines
F1,12/01/2014,12/01/2014,12/01/2014,04/01/2001,03/01/2012
F2A,09/08/2020,09/08/2020,09/08/2020,11/01/2018,09/08/2020
F2B,09/22/2015,09/22/2015,09/22/2015,06/01/2001,10/22/2011
F3,11/22/2008,11/22/2008,11/22/2008,11/01/1997,06/08/2002
F4,03/22/2007,03/22/2007,09/15/2005,08/01/2000,08/22/2002
