country,f1_A,f2a_A,f2b_A,f3_A,f4_A,f1_B,f2a_B,f2b_B,f3_B,f4_B
other,12/01/14,c,09/22/15,11/22/08,03/22/07,08/08/16,c,01/01/17,11/08/09,12/15/07
china,12/01/14,c,09/22/15,11/22/08,03/22/07,08/08/16,c,01/01/17,11/08/09,12/15/07
india,12/01/14,c,09/22/15,11/22/08,09/15/05,08/08/16,c,01/01/17,11/08/09,02/22/06
mexico,04/01/01,c,06/01/01,11/01/97,08/01/00,12/01/02,c,01/01/02,06/15/01,04/01/01
philippines,03/01/12,c,10/22/11,06/08/02,08/22/02,04/22/15,c,10/01/13,11/08/03,04/22/04
